Scenario,Output,AETR,LACA,HECO,CAPA,HOVI,TRAL,GITR,NAJE,DICA,UNK,AGHE,DEVA,GRCA,LOHO,RACA,ERNU,LIBI,LOWR,TRFU,VIDO,SUM,Mean
Goatgrass,sVisitsP,0,66.34008638,16.9250562,53.07353608,25.57118863,309.3562289,0.818481262,17.89773849,6.697481323,0.000147864,15.91970922,0.5215997,1.420712283,0.540489822,0.161883472,0.000102722,0.337089691,27.73139391,0.000168173,0.000151443,543.3132456,28.59543398
Goatgrass,sVisitsP,0,64.64703494,16.61844116,58.96094716,23.70580899,312.894533,0.848256194,18.88095666,6.5954742,0.000250138,15.42541573,0.492320271,1.289303936,0.58878952,0.186354213,5.23E-05,0.356882084,28.01176414,0.000122971,0.000116651,549.5028243,28.92120128
Goatgrass,sVisitsP,0,67.05098763,18.47727609,58.99429381,28.29066535,282.1345349,0.943504159,16.49836319,6.371042907,0.000258363,14.51441591,0.539503346,1.218719283,0.596468621,0.190171486,0.000120909,0.325124869,29.43336098,0.000123847,0.000126996,525.5790627,27.66205593
Goatgrass,sVisitsP,0,68.95295861,18.38021684,50.68209912,23.4610694,291.343839,0.81985782,17.7681957,6.872141287,0.000183738,14.29535196,0.501761817,1.180957103,0.551445556,0.188893029,6.83E-05,0.31149281,24.79154001,0.000190772,9.05E-05,520.1023534,27.37380807
Goatgrass,sVisitsP,0,65.57537675,16.6114087,53.50971202,23.50594581,291.2404553,0.919554035,18.21881836,7.077638867,0.000129811,14.47928099,0.541082741,1.233173691,0.610106854,0.172029781,0.000110688,0.365490035,29.61014768,0.000107246,0.000184722,523.670754,27.56161863
Goatgrass,sVisitsP,0,66.49262008,18.39650367,53.98372621,26.23351836,298.6364742,0.802124789,17.255933,6.281628172,0.000288948,15.47975589,0.549429536,1.332830492,0.607043777,0.170758671,8.56E-05,0.334194374,26.43146309,0.000110835,7.37E-05,532.9885634,28.05202965
Goatgrass,sVisitsP,0,62.80199559,16.56542465,52.77236958,28.31770393,305.7774845,0.793753594,18.56375788,6.574678398,0.000115457,15.86881992,0.49801948,1.386631941,0.53770311,0.17534673,6.90E-05,0.396588564,26.01953515,0.000121638,0.000117272,537.0502364,28.26580191
Goatgrass,sVisitsP,0,62.62581604,18.10731357,53.95588702,27.23781945,293.6932681,0.817501724,17.68736569,7.025046599,0.000274736,15.58089737,0.526246237,1.414571092,0.614709677,0.160668993,5.10E-05,0.367998654,26.10004792,0.000176484,0.000169509,525.9158299,27.67978052
Goatgrass,sVisitsP,0,68.40325709,16.73366991,60.46964218,24.47273879,266.5083415,0.932051718,18.5093447,7.225781084,0.000195152,13.72186653,0.49769698,1.164394865,0.546518526,0.193480193,9.50E-05,0.388491344,25.52532682,0.000134667,0.000182697,505.2932097,26.59437946
Goatgrass,sVisitsP,0,63.02001168,16.18931225,54.10637912,25.71930686,291.2864638,0.906097022,16.69265567,6.983935783,0.000296953,15.21951267,0.558356469,1.333487839,0.538440317,0.182113827,0.000113062,0.357001473,28.73243734,0.000141701,0.000104211,521.826168,27.46453516
Goatgrass,sVisitsP,0,68.47981284,17.85814266,57.8095679,25.53882785,281.5004953,0.909765677,18.26104757,7.052492931,0.00021963,15.09603901,0.525658184,1.325678634,0.53933865,0.172144359,8.52E-05,0.342584157,28.11302445,0.000103651,0.000136277,523.525165,27.55395605
Goatgrass,sVisitsP,0,70.54528581,17.30216329,56.17713584,25.78286853,290.0616332,0.757424498,16.87071001,6.062101424,0.000155474,15.31756193,0.452301689,1.326834921,0.524251291,0.144009131,5.42E-05,0.348098583,27.70664014,0.000186791,0.000100111,529.3795168,27.86207983
Goatgrass,sVisitsP,0,71.70036522,17.56815247,57.55196728,24.52012918,280.1526376,0.937412579,15.80690984,7.22292052,0.000146664,14.22059494,0.461378963,1.340789157,0.543970074,0.168191417,0.000139992,0.388728738,29.95052289,0.000137427,6.86E-05,522.5351635,27.50185071
Goatgrass,sVisitsP,0,69.49722376,16.42846902,59.47469672,26.10862089,310.0257143,0.859941807,15.84320579,6.541279198,0.000270582,13.64990809,0.530872188,1.261200265,0.561380651,0.191491025,6.08E-05,0.366784657,30.58033638,8.74E-05,0.000149313,551.9216928,29.04851015
Goatgrass,sVisitsP,0,61.97780581,17.71505523,56.61611174,23.0453158,275.6818597,0.871497676,15.81760401,6.483089707,0.00014475,14.70002578,0.512572508,1.270291008,0.570129919,0.143135138,0.000119675,0.332005895,27.52706518,8.54E-05,9.74E-05,503.2640123,26.4875796
